name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;value_euro;wage_euro;preferred_foot;national_team;team_position;national_numb
L. Messi;Lionel Andrés Messi Cuccittini;6/24/1987;37;170.18;72.1;CF,RW,ST;Argentina;94;110500000;565000;Left;Argentina;RF;10
C. Eriksen;Christian  Dannemann Eriksen;2/14/1992;33;154.94;76.2;CAM,RM,CM;Denmark;88;69500000;205000;Right;Denmark;CAM;10
P. Pogba;Paul Pogba;3/15/1993;31;190.5;83.9;CM,CAM;France;88;73000000;255000;Right;France;RDM;6
L. Insigne;Lorenzo Insigne;6/4/1991;33;162.56;59;LW,ST;Italy;88;62000000;165000;Right;Italy;LW;10
K. Koulibaly;Kalidou Koulibaly;6/20/1991;33;187.96;88.9;CB;Senegal;88;60000000;135000;Right;;;
V. van Dijk;Virgil van Dijk;7/8/1991;33;193.04;92.1;CB;Netherlands;88;59500000;215000;Right;Netherlands;LCB;4
K. Mbappé;Kylian Mbappé;12/20/1998;26;152.4;73;RW,ST,RM;France;88;81000000;100000;Right;France;RM;10
S. Agüero;Sergio Leonel Agüero del Castillo;6/2/1988;36;172.72;69.9;ST;Argentina;89;64500000;300000;Right;Argentina;SUB;11
M. Neuer;Manuel Neuer;3/27/1986;38;193.04;92.1;GK;Germany;89;38000000;130000;Right;Germany;GK;1
E. Cavani;Edinson Roberto Cavani Gómez;2/14/1987;38;185.42;77.1;ST;Uruguay;89;60000000;200000;Right;Uruguay;LS;21
Sergio Busquets;Sergio Busquets i Burgos;7/16/1988;36;187.96;76.2;CDM,CM;Spain;89;51500000;315000;Right;Spain;CDM;5
T. Courtois;Thibaut Courtois;5/11/1992;32;198.12;96.2;GK;Belgium;89;53500000;240000;Left;Belgium;GK;1
M. ter Stegen;Marc-André ter Stegen;4/30/1992;32;187.96;84.8;GK;Germany;89;58000000;240000;Right;Germany;SUB;22
A. Griezmann;Antoine Griezmann;3/21/1991;33;175.26;73;CF,ST;France;89;78000000;145000;Left;France;CAM;7
M. Salah;Mohamed  Salah Ghaly;6/15/1992;32;175.26;71.2;RW,ST;Egypt;89;78500000;265000;Left;Egypt;RM;10
P. Dybala;Paulo Bruno Exequiel Dybala;11/15/1993;31;152.4;74.8;CAM,RW;Argentina;89;89000000;205000;Left;Argentina;LF;21
M. _kriniar;Milan _kriniar;2/11/1995;30;187.96;79.8;CB;Slovakia;86;53500000;89000;Right;;;
Fernandinho;Fernando Luiz Rosa;5/4/1985;39;152.4;67.1;CDM;Brazil;87;20500000;200000;Right;;;
G. Higuaín;Gonzalo Gerardo Higuaín;12/10/1987;37;185.42;88.9;ST;Argentina;87;48500000;205000;Right;;;
I. Rakiti_;Ivan Rakiti_;3/10/1988;36;182.88;78;CM,CDM;Croatia;87;46500000;260000;Right;;;
J. Vertonghen;Jan Vertonghen;4/24/1987;37;187.96;86.2;CB;Belgium;87;34000000;155000;Left;Belgium;LCB;5
D. Mertens;Dries Mertens;5/6/1987;37;170.18;60.8;CF,ST;Belgium;87;45000000;135000;Right;Belgium;RF;14
Marcelo;Marcelo Vieira da Silva Júnior;5/12/1988;36;175.26;79.8;LB;Brazil;87;36500000;240000;Left;;;
T. Alderweireld;Toby Alderweireld;3/2/1989;36;185.42;81.2;CB;Belgium;87;44000000;165000;Right;Belgium;RCB;2
Jordi Alba;Jordi Alba Ramos;3/21/1989;35;170.18;68;LB;Spain;87;38000000;250000;Left;Spain;LB;18
Thiago;Thiago Alcântara do Nascimento;4/11/1991;33;175.26;69.9;CM,CAM,CDM;Spain;87;51500000;140000;Right;Spain;SUB;19
C. Immobile;Ciro Immobile;2/20/1990;35;185.42;84.8;ST;Italy;87;52000000;115000;Right;Italy;ST;17
K. Navas;Keylor Navas;12/15/1986;38;185.42;79.8;GK;Costa Rica;87;30500000;195000;Right;;;
Isco;Francisco Román Alarcón Suárez;4/21/1992;32;175.26;78.9;CAM,CM,LW;Spain;87;62500000;260000;Right;Spain;LW;22
J. Rodríguez;James David Rodríguez Rubio;7/12/1991;33;154.94;74.8;CAM,CM,RM;Colombia;87;59000000;260000;Left;Colombia;LAM;10
Casemiro;Carlos Henrique Venancio Casimiro;2/23/1992;33;185.42;83.9;CDM;Brazil;87;50500000;240000;Right;;;
M. Icardi;Mauro Emanuel Icardi Rivero;2/19/1993;32;154.94;74.8;ST;Argentina;87;64500000;130000;Right;Argentina;ST;9
Kepa;Kepa Arrizabalaga;10/3/1994;30;185.42;84.8;GK;Spain;84;31000000;92000;Right;Spain;SUB;13
H. Ziyech;Hakim Ziyech;3/19/1993;31;154.94;64.9;CAM,RW;Morocco;84;38000000;31000;Left;;;
Fabinho;Fábio Henrique Tavares;10/23/1993;31;187.96;78;CDM;Brazil;84;34000000;120000;Right;;;
A. Martial;Anthony Martial;12/5/1995;29;182.88;76.2;LW,ST,LM;France;84;42500000;165000;Right;;;
T. Werner;Timo Werner;3/6/1996;29;154.94;74.8;ST;Germany;84;40000000;77000;Right;Germany;RW;9
N. Süle;Niklas Süle;9/3/1995;29;195.58;97.1;CB;Germany;84;36500000;84000;Right;Germany;CB;15
Bruno Fernandes;Bruno Miguel Borges Fernandes;9/8/1994;30;152.4;68.9;CAM,CM;Portugal;84;40500000;22000;Right;Sporting CP;LCM;8
Alex Telles;Alex Nicolao Telles;12/15/1992;32;154.94;71.2;LB;Brazil;84;31000000;22000;Left;;;
